turbine_id,cluster_id,score,year,lon,lat,province
COWTD-r1-000170,COWTD-CL-r1-gansu-000001,0.82631582,2023,96.21779448068993,40.93884284263724,gansu
COWTD-r1-000171,COWTD-CL-r1-gansu-000001,0.51510751,2024,96.81380820302365,40.94329953209279,gansu
COWTD-r1-000172,COWTD-CL-r1-gansu-000001,0.81860602,2014,95.5495969072217,40.93778473471619,gansu
COWTD-r1-000173,COWTD-CL-r1-gansu-000001,0.75290495,2023,96.23292156565184,40.93966584011806,gansu
COWTD-r1-000174,COWTD-CL-r1-gansu-000001,0.68538165,2023,96.3260679716859,40.93924721411514,gansu
COWTD-r1-000175,COWTD-CL-r1-gansu-000001,0.46356216,2021,97.19648074891664,40.52203571925088,gansu
COWTD-r1-000176,COWTD-CL-r1-gansu-000001,0.81530333,2017,95.57175088008078,40.937896864310616,gansu
COWTD-r1-000177,COWTD-CL-r1-gansu-000001,0.84097880,2024,96.11065919312749,40.93967994661428,gansu
COWTD-r1-000178,COWTD-CL-r1-gansu-000001,0.64132118,2022,96.8299963291247,40.94138860445621,gansu
COWTD-r1-000179,COWTD-CL-r1-gansu-000001,0.76098865,2021,96.3706769057353,40.93948932065753,gansu
COWTD-r1-000180,COWTD-CL-r1-gansu-000001,0.84919560,2022,97.23629240766967,40.520396196835016,gansu
COWTD-r1-000181,COWTD-CL-r1-gansu-000001,0.60307962,2024,96.79360580013963,40.94168048548789,gansu
COWTD-r1-000182,COWTD-CL-r1-gansu-000001,0.59464335,2023,96.31090800576203,40.93716228688073,gansu
COWTD-r1-000183,COWTD-CL-r1-gansu-000001,0.73263651,2024,96.54991038318256,40.93964729172712,gansu
COWTD-r1-000184,COWTD-CL-r1-gansu-000001,0.74581003,2024,96.61009399811519,40.938861396819114,gansu
COWTD-r1-000185,COWTD-CL-r1-gansu-000001,0.82477462,2024,96.08741109516814,40.93755327026504,gansu
COWTD-r1-000186,COWTD-CL-r1-gansu-000001,0.76991636,2021,97.30992564538609,40.49667425666874,gansu
COWTD-r1-000187,COWTD-CL-r1-gansu-000001,0.46885985,2017,95.57103262759483,40.93449885757632,gansu
COWTD-r1-000188,COWTD-CL-r1-gansu-000001,0.62389648,2021,97.1958434202679,40.49894488529688,gansu
COWTD-r1-000189,COWTD-CL-r1-gansu-000001,0.86024636,2014,95.58801657873117,40.9349038405043,gansu
COWTD-r1-000190,COWTD-CL-r1-gansu-000001,0.86656541,2024,96.77807814950938,40.93977148297857,gansu
COWTD-r1-000191,COWTD-CL-r1-gansu-000001,0.72076130,2021,97.23629953441558,40.51479814512064,gansu
COWTD-r1-000192,COWTD-CL-r1-gansu-000001,0.77059954,2021,96.43481687211533,40.93728849819694,gansu
COWTD-r1-000193,COWTD-CL-r1-gansu-000001,0.83048880,2023,96.19599772948277,40.936837908620554,gansu
COWTD-r1-000194,COWTD-CL-r1-gansu-000001,0.78649098,2021,97.34939161726287,40.505838896818474,gansu
COWTD-r1-000195,COWTD-CL-r1-gansu-000001,0.73157972,2021,97.19585526936497,40.502553731111696,gansu
COWTD-r1-000196,COWTD-CL-r1-gansu-000001,0.86847681,2023,97.30927888975657,40.47520093247374,gansu
COWTD-r1-000197,COWTD-CL-r1-gansu-000001,0.14648461,2021,97.31010733590665,40.50733485425759,gansu
COWTD-r1-000198,COWTD-CL-r1-gansu-000001,0.56491691,2021,97.19588006833872,40.50618881077789,gansu
COWTD-r1-000199,COWTD-CL-r1-gansu-000001,0.68036491,2024,96.81382269274762,40.93972401422334,gansu
COWTD-r1-000200,COWTD-CL-r1-gansu-000001,0.83991951,2021,97.24934237263369,40.50930056829549,gansu
COWTD-r1-000201,COWTD-CL-r1-gansu-000001,0.52377826,2021,97.24941283603586,40.51299616704634,gansu
COWTD-r1-000202,COWTD-CL-r1-gansu-000001,0.64595163,2021,96.40478654746401,40.935378400137296,gansu
COWTD-r1-000203,COWTD-CL-r1-gansu-000001,0.78745526,2021,97.1965592320157,40.513389915531505,gansu
COWTD-r1-000204,COWTD-CL-r1-gansu-000001,0.08364207,2021,97.33575918107817,40.48270415355352,gansu
COWTD-r1-000205,COWTD-CL-r1-gansu-000001,0.58314431,2022,96.829793231027,40.93741819645758,gansu
COWTD-r1-000206,COWTD-CL-r1-gansu-000001,0.78478926,2021,96.4245805779683,40.93528168155648,gansu
COWTD-r1-000207,COWTD-CL-r1-gansu-000001,0.78808075,2023,96.18038610675283,40.935041176574046,gansu
COWTD-r1-000208,COWTD-CL-r1-gansu-000001,0.38786203,2021,97.23567590944184,40.48616658110538,gansu
COWTD-r1-000209,COWTD-CL-r1-gansu-000001,0.90722138,2024,96.79382521069782,40.937727240012414,gansu
COWTD-r1-000210,COWTD-CL-r1-gansu-000001,0.59321308,2021,97.22275857900969,40.48804035444462,gansu
COWTD-r1-000211,COWTD-CL-r1-gansu-000001,0.63641012,2014,95.59723480364482,40.93174871623816,gansu
COWTD-r1-000212,COWTD-CL-r1-gansu-000001,0.32760131,2021,97.24879825136213,40.490749392715124,gansu
COWTD-r1-000213,COWTD-CL-r1-gansu-000001,0.72985399,2021,97.2964664533174,40.49139652924773,gansu
